,Filepath,Sequence,Frame,Set
100,/home/admin/data/esmart_wip/20210629_173500_9456.jpg,20210629173500,9456,train
101,/home/admin/data/esmart_wip/20210629_173500_9462.jpg,20210629173500,9462,train
102,/home/admin/data/esmart_wip/20210629_173500_9471.jpg,20210629173500,9471,train
106,/home/admin/data/esmart_wip/20210629_174553_10128.jpg,20210629174553,10128,train
107,/home/admin/data/esmart_wip/20210629_174553_10170.jpg,20210629174553,10170,train
108,/home/admin/data/esmart_wip/20210629_174553_10422.jpg,20210629174553,10422,train
109,/home/admin/data/esmart_wip/20210629_174553_1062.jpg,20210629174553,1062,train
110,/home/admin/data/esmart_wip/20210629_174553_10956.jpg,20210629174553,10956,train
111,/home/admin/data/esmart_wip/20210629_174553_11868.jpg,20210629174553,11868,train
112,/home/admin/data/esmart_wip/20210629_174553_11988.jpg,20210629174553,11988,train
113,/home/admin/data/esmart_wip/20210629_174553_12054.jpg,20210629174553,12054,train
115,/home/admin/data/esmart_wip/20210629_174553_12750.jpg,20210629174553,12750,train
116,/home/admin/data/esmart_wip/20210629_174553_1287.jpg,20210629174553,1287,train
117,/home/admin/data/esmart_wip/20210629_174553_12942.jpg,20210629174553,12942,train
118,/home/admin/data/esmart_wip/20210629_174553_12957.jpg,20210629174553,12957,train
119,/home/admin/data/esmart_wip/20210629_174553_12972.jpg,20210629174553,12972,train
120,/home/admin/data/esmart_wip/20210629_174553_12987.jpg,20210629174553,12987,train
122,/home/admin/data/esmart_wip/20210629_174553_13017.jpg,20210629174553,13017,train
123,/home/admin/data/esmart_wip/20210629_174553_1302.jpg,20210629174553,1302,train
126,/home/admin/data/esmart_wip/20210629_174553_13062.jpg,20210629174553,13062,train
128,/home/admin/data/esmart_wip/20210629_174553_1317.jpg,20210629174553,1317,train
129,/home/admin/data/esmart_wip/20210629_174553_1332.jpg,20210629174553,1332,train
130,/home/admin/data/esmart_wip/20210629_174553_13323.jpg,20210629174553,13323,train
131,/home/admin/data/esmart_wip/20210629_174553_13683.jpg,20210629174553,13683,train
132,/home/admin/data/esmart_wip/20210629_174553_1377.jpg,20210629174553,1377,train
133,/home/admin/data/esmart_wip/20210629_174553_1401.jpg,20210629174553,1401,train
134,/home/admin/data/esmart_wip/20210629_174553_14151.jpg,20210629174553,14151,train
135,/home/admin/data/esmart_wip/20210629_174553_14268.jpg,20210629174553,14268,train
136,/home/admin/data/esmart_wip/20210629_174553_14271.jpg,20210629174553,14271,train
137,/home/admin/data/esmart_wip/20210629_174553_14331.jpg,20210629174553,14331,train
138,/home/admin/data/esmart_wip/20210629_174553_14775.jpg,20210629174553,14775,train
139,/home/admin/data/esmart_wip/20210629_174553_1488.jpg,20210629174553,1488,train
140,/home/admin/data/esmart_wip/20210629_174553_14883.jpg,20210629174553,14883,train
141,/home/admin/data/esmart_wip/20210629_174553_14913.jpg,20210629174553,14913,train
142,/home/admin/data/esmart_wip/20210629_174553_1554.jpg,20210629174553,1554,train
143,/home/admin/data/esmart_wip/20210629_174553_16122.jpg,20210629174553,16122,train
144,/home/admin/data/esmart_wip/20210629_174553_16332.jpg,20210629174553,16332,train
147,/home/admin/data/esmart_wip/20210629_174553_17061.jpg,20210629174553,17061,train
148,/home/admin/data/esmart_wip/20210629_174553_17076.jpg,20210629174553,17076,train
149,/home/admin/data/esmart_wip/20210629_174553_17091.jpg,20210629174553,17091,train
151,/home/admin/data/esmart_wip/20210629_174553_17121.jpg,20210629174553,17121,train
152,/home/admin/data/esmart_wip/20210629_174553_17136.jpg,20210629174553,17136,train
154,/home/admin/data/esmart_wip/20210629_174553_18198.jpg,20210629174553,18198,train
155,/home/admin/data/esmart_wip/20210629_174553_18258.jpg,20210629174553,18258,train
156,/home/admin/data/esmart_wip/20210629_174553_18306.jpg,20210629174553,18306,train
157,/home/admin/data/esmart_wip/20210629_174553_18852.jpg,20210629174553,18852,train
158,/home/admin/data/esmart_wip/20210629_174553_19356.jpg,20210629174553,19356,train
159,/home/admin/data/esmart_wip/20210629_174553_19398.jpg,20210629174553,19398,train
160,/home/admin/data/esmart_wip/20210629_174553_19548.jpg,20210629174553,19548,train
161,/home/admin/data/esmart_wip/20210629_174553_19584.jpg,20210629174553,19584,train
162,/home/admin/data/esmart_wip/20210629_174553_19698.jpg,20210629174553,19698,train
163,/home/admin/data/esmart_wip/20210629_174553_20022.jpg,20210629174553,20022,train
165,/home/admin/data/esmart_wip/20210629_174553_20526.jpg,20210629174553,20526,train
166,/home/admin/data/esmart_wip/20210629_174553_20670.jpg,20210629174553,20670,train
167,/home/admin/data/esmart_wip/20210629_174553_210.jpg,20210629174553,210,train
168,/home/admin/data/esmart_wip/20210629_174553_222.jpg,20210629174553,222,train
169,/home/admin/data/esmart_wip/20210629_174553_2280.jpg,20210629174553,2280,train
170,/home/admin/data/esmart_wip/20210629_174553_23154.jpg,20210629174553,23154,train
171,/home/admin/data/esmart_wip/20210629_174553_24183.jpg,20210629174553,24183,train
172,/home/admin/data/esmart_wip/20210629_174553_24648.jpg,20210629174553,24648,train
173,/home/admin/data/esmart_wip/20210629_174553_24834.jpg,20210629174553,24834,train
174,/home/admin/data/esmart_wip/20210629_174553_25014.jpg,20210629174553,25014,train
175,/home/admin/data/esmart_wip/20210629_174553_25128.jpg,20210629174553,25128,train
176,/home/admin/data/esmart_wip/20210629_174553_25143.jpg,20210629174553,25143,train
177,/home/admin/data/esmart_wip/20210629_174553_25158.jpg,20210629174553,25158,train
180,/home/admin/data/esmart_wip/20210629_174553_25203.jpg,20210629174553,25203,train
181,/home/admin/data/esmart_wip/20210629_174553_26016.jpg,20210629174553,26016,train
182,/home/admin/data/esmart_wip/20210629_174553_2655.jpg,20210629174553,2655,train
183,/home/admin/data/esmart_wip/20210629_174553_27132.jpg,20210629174553,27132,train
184,/home/admin/data/esmart_wip/20210629_174553_27147.jpg,20210629174553,27147,train
185,/home/admin/data/esmart_wip/20210629_174553_27162.jpg,20210629174553,27162,train
186,/home/admin/data/esmart_wip/20210629_174553_27177.jpg,20210629174553,27177,train
188,/home/admin/data/esmart_wip/20210629_174553_3126.jpg,20210629174553,3126,train
190,/home/admin/data/esmart_wip/20210629_174553_3369.jpg,20210629174553,3369,train
193,/home/admin/data/esmart_wip/20210629_174553_4590.jpg,20210629174553,4590,train
194,/home/admin/data/esmart_wip/20210629_174553_5076.jpg,20210629174553,5076,train
195,/home/admin/data/esmart_wip/20210629_174553_5214.jpg,20210629174553,5214,train
197,/home/admin/data/esmart_wip/20210629_174553_5448.jpg,20210629174553,5448,train
198,/home/admin/data/esmart_wip/20210629_174553_5625.jpg,20210629174553,5625,train
199,/home/admin/data/esmart_wip/20210629_174553_5649.jpg,20210629174553,5649,train
200,/home/admin/data/esmart_wip/20210629_174553_5673.jpg,20210629174553,5673,train
202,/home/admin/data/esmart_wip/20210629_174553_5721.jpg,20210629174553,5721,train
204,/home/admin/data/esmart_wip/20210629_174553_6408.jpg,20210629174553,6408,train
205,/home/admin/data/esmart_wip/20210629_174553_6774.jpg,20210629174553,6774,train
206,/home/admin/data/esmart_wip/20210629_174553_6828.jpg,20210629174553,6828,train
208,/home/admin/data/esmart_wip/20210629_174553_7167.jpg,20210629174553,7167,train
209,/home/admin/data/esmart_wip/20210629_174553_7248.jpg,20210629174553,7248,train
210,/home/admin/data/esmart_wip/20210629_174553_7698.jpg,20210629174553,7698,train
212,/home/admin/data/esmart_wip/20210629_174553_8250.jpg,20210629174553,8250,train
213,/home/admin/data/esmart_wip/20210629_174553_8517.jpg,20210629174553,8517,train
214,/home/admin/data/esmart_wip/20210629_174553_9216.jpg,20210629174553,9216,train
215,/home/admin/data/esmart_wip/20210629_174553_9657.jpg,20210629174553,9657,train
216,/home/admin/data/esmart_wip/20210629_174553_9780.jpg,20210629174553,9780,train
217,/home/admin/data/esmart_wip/20210630_055611_10014.jpg,20210630055611,10014,train
219,/home/admin/data/esmart_wip/20210630_055611_10200.jpg,20210630055611,10200,train
223,/home/admin/data/esmart_wip/20210630_055611_1122.jpg,20210630055611,1122,train
224,/home/admin/data/esmart_wip/20210630_055611_11331.jpg,20210630055611,11331,train
225,/home/admin/data/esmart_wip/20210630_055611_11337.jpg,20210630055611,11337,train
226,/home/admin/data/esmart_wip/20210630_055611_11340.jpg,20210630055611,11340,train
227,/home/admin/data/esmart_wip/20210630_055611_11343.jpg,20210630055611,11343,train
228,/home/admin/data/esmart_wip/20210630_055611_11514.jpg,20210630055611,11514,train
229,/home/admin/data/esmart_wip/20210630_055611_11613.jpg,20210630055611,11613,train
230,/home/admin/data/esmart_wip/20210630_055611_11634.jpg,20210630055611,11634,train
231,/home/admin/data/esmart_wip/20210630_055611_11784.jpg,20210630055611,11784,train
234,/home/admin/data/esmart_wip/20210630_055611_12018.jpg,20210630055611,12018,train
235,/home/admin/data/esmart_wip/20210630_055611_12021.jpg,20210630055611,12021,train
236,/home/admin/data/esmart_wip/20210630_055611_12036.jpg,20210630055611,12036,train
237,/home/admin/data/esmart_wip/20210630_055611_12051.jpg,20210630055611,12051,train
238,/home/admin/data/esmart_wip/20210630_055611_12180.jpg,20210630055611,12180,train
239,/home/admin/data/esmart_wip/20210630_055611_1242.jpg,20210630055611,1242,train
240,/home/admin/data/esmart_wip/20210630_055611_12426.jpg,20210630055611,12426,train
241,/home/admin/data/esmart_wip/20210630_055611_12810.jpg,20210630055611,12810,train
242,/home/admin/data/esmart_wip/20210630_055611_12831.jpg,20210630055611,12831,train
243,/home/admin/data/esmart_wip/20210630_055611_12861.jpg,20210630055611,12861,train
244,/home/admin/data/esmart_wip/20210630_055611_12876.jpg,20210630055611,12876,train
246,/home/admin/data/esmart_wip/20210630_055611_12891.jpg,20210630055611,12891,train
247,/home/admin/data/esmart_wip/20210630_055611_12966.jpg,20210630055611,12966,train
249,/home/admin/data/esmart_wip/20210630_055611_13152.jpg,20210630055611,13152,train
251,/home/admin/data/esmart_wip/20210630_055611_13368.jpg,20210630055611,13368,train
252,/home/admin/data/esmart_wip/20210630_055611_13374.jpg,20210630055611,13374,train
253,/home/admin/data/esmart_wip/20210630_055611_13380.jpg,20210630055611,13380,train
254,/home/admin/data/esmart_wip/20210630_055611_13434.jpg,20210630055611,13434,train
255,/home/admin/data/esmart_wip/20210630_055611_13602.jpg,20210630055611,13602,train
257,/home/admin/data/esmart_wip/20210630_055611_13800.jpg,20210630055611,13800,train
258,/home/admin/data/esmart_wip/20210630_055611_13821.jpg,20210630055611,13821,train
259,/home/admin/data/esmart_wip/20210630_055611_13836.jpg,20210630055611,13836,train
260,/home/admin/data/esmart_wip/20210630_055611_13842.jpg,20210630055611,13842,train
261,/home/admin/data/esmart_wip/20210630_055611_13851.jpg,20210630055611,13851,train
262,/home/admin/data/esmart_wip/20210630_055611_13866.jpg,20210630055611,13866,train
263,/home/admin/data/esmart_wip/20210630_055611_14082.jpg,20210630055611,14082,train
264,/home/admin/data/esmart_wip/20210630_055611_14136.jpg,20210630055611,14136,train
265,/home/admin/data/esmart_wip/20210630_055611_14190.jpg,20210630055611,14190,train
266,/home/admin/data/esmart_wip/20210630_055611_14262.jpg,20210630055611,14262,train
267,/home/admin/data/esmart_wip/20210630_055611_14352.jpg,20210630055611,14352,train
268,/home/admin/data/esmart_wip/20210630_055611_1446.jpg,20210630055611,1446,train
270,/home/admin/data/esmart_wip/20210630_055611_14592.jpg,20210630055611,14592,train
273,/home/admin/data/esmart_wip/20210630_055611_15114.jpg,20210630055611,15114,train
274,/home/admin/data/esmart_wip/20210630_055611_15162.jpg,20210630055611,15162,train
275,/home/admin/data/esmart_wip/20210630_055611_15168.jpg,20210630055611,15168,train
276,/home/admin/data/esmart_wip/20210630_055611_15174.jpg,20210630055611,15174,train
277,/home/admin/data/esmart_wip/20210630_055611_15180.jpg,20210630055611,15180,train
280,/home/admin/data/esmart_wip/20210630_055611_15606.jpg,20210630055611,15606,train
281,/home/admin/data/esmart_wip/20210630_055611_15750.jpg,20210630055611,15750,train
286,/home/admin/data/esmart_wip/20210630_055611_17124.jpg,20210630055611,17124,train
287,/home/admin/data/esmart_wip/20210630_055611_17151.jpg,20210630055611,17151,train
288,/home/admin/data/esmart_wip/20210630_055611_17181.jpg,20210630055611,17181,train
291,/home/admin/data/esmart_wip/20210630_055611_17256.jpg,20210630055611,17256,train
292,/home/admin/data/esmart_wip/20210630_055611_17304.jpg,20210630055611,17304,train
294,/home/admin/data/esmart_wip/20210630_055611_1752.jpg,20210630055611,1752,train
295,/home/admin/data/esmart_wip/20210630_055611_1758.jpg,20210630055611,1758,train
296,/home/admin/data/esmart_wip/20210630_055611_1770.jpg,20210630055611,1770,train
297,/home/admin/data/esmart_wip/20210630_055611_1776.jpg,20210630055611,1776,train
300,/home/admin/data/esmart_wip/20210630_055611_17886.jpg,20210630055611,17886,train
301,/home/admin/data/esmart_wip/20210630_055611_18342.jpg,20210630055611,18342,train
302,/home/admin/data/esmart_wip/20210630_055611_18357.jpg,20210630055611,18357,train
303,/home/admin/data/esmart_wip/20210630_055611_18369.jpg,20210630055611,18369,train
305,/home/admin/data/esmart_wip/20210630_055611_18849.jpg,20210630055611,18849,train
306,/home/admin/data/esmart_wip/20210630_055611_18948.jpg,20210630055611,18948,train
307,/home/admin/data/esmart_wip/20210630_055611_1908.jpg,20210630055611,1908,train
308,/home/admin/data/esmart_wip/20210630_055611_19224.jpg,20210630055611,19224,train
309,/home/admin/data/esmart_wip/20210630_055611_1926.jpg,20210630055611,1926,train
310,/home/admin/data/esmart_wip/20210630_055611_19668.jpg,20210630055611,19668,train
311,/home/admin/data/esmart_wip/20210630_055611_1992.jpg,20210630055611,1992,train
313,/home/admin/data/esmart_wip/20210630_055611_20340.jpg,20210630055611,20340,train
314,/home/admin/data/esmart_wip/20210630_055611_20670.jpg,20210630055611,20670,train
315,/home/admin/data/esmart_wip/20210630_055611_2082.jpg,20210630055611,2082,train
316,/home/admin/data/esmart_wip/20210630_055611_20937.jpg,20210630055611,20937,train
317,/home/admin/data/esmart_wip/20210630_055611_20943.jpg,20210630055611,20943,train
318,/home/admin/data/esmart_wip/20210630_055611_20949.jpg,20210630055611,20949,train
319,/home/admin/data/esmart_wip/20210630_055611_2100.jpg,20210630055611,2100,train
323,/home/admin/data/esmart_wip/20210630_055611_2142.jpg,20210630055611,2142,train
324,/home/admin/data/esmart_wip/20210630_055611_22050.jpg,20210630055611,22050,train
325,/home/admin/data/esmart_wip/20210630_055611_2214.jpg,20210630055611,2214,train
326,/home/admin/data/esmart_wip/20210630_055611_22770.jpg,20210630055611,22770,train
327,/home/admin/data/esmart_wip/20210630_055611_22785.jpg,20210630055611,22785,train
328,/home/admin/data/esmart_wip/20210630_055611_22800.jpg,20210630055611,22800,train
329,/home/admin/data/esmart_wip/20210630_055611_22815.jpg,20210630055611,22815,train
330,/home/admin/data/esmart_wip/20210630_055611_22821.jpg,20210630055611,22821,train
332,/home/admin/data/esmart_wip/20210630_055611_22956.jpg,20210630055611,22956,train
333,/home/admin/data/esmart_wip/20210630_055611_23472.jpg,20210630055611,23472,train
334,/home/admin/data/esmart_wip/20210630_055611_24345.jpg,20210630055611,24345,train
335,/home/admin/data/esmart_wip/20210630_055611_24351.jpg,20210630055611,24351,train
336,/home/admin/data/esmart_wip/20210630_055611_24363.jpg,20210630055611,24363,train
339,/home/admin/data/esmart_wip/20210630_055611_24714.jpg,20210630055611,24714,train
340,/home/admin/data/esmart_wip/20210630_055611_24912.jpg,20210630055611,24912,train
341,/home/admin/data/esmart_wip/20210630_055611_24927.jpg,20210630055611,24927,train
342,/home/admin/data/esmart_wip/20210630_055611_24942.jpg,20210630055611,24942,train
343,/home/admin/data/esmart_wip/20210630_055611_2538.jpg,20210630055611,2538,train
344,/home/admin/data/esmart_wip/20210630_055611_25704.jpg,20210630055611,25704,train
345,/home/admin/data/esmart_wip/20210630_055611_2580.jpg,20210630055611,2580,train
346,/home/admin/data/esmart_wip/20210630_055611_25869.jpg,20210630055611,25869,train
347,/home/admin/data/esmart_wip/20210630_055611_26199.jpg,20210630055611,26199,train
348,/home/admin/data/esmart_wip/20210630_055611_26295.jpg,20210630055611,26295,train
349,/home/admin/data/esmart_wip/20210630_055611_2640.jpg,20210630055611,2640,train
350,/home/admin/data/esmart_wip/20210630_055611_26427.jpg,20210630055611,26427,train
351,/home/admin/data/esmart_wip/20210630_055611_26433.jpg,20210630055611,26433,train
352,/home/admin/data/esmart_wip/20210630_055611_26586.jpg,20210630055611,26586,train
353,/home/admin/data/esmart_wip/20210630_055611_26601.jpg,20210630055611,26601,train
354,/home/admin/data/esmart_wip/20210630_055611_26616.jpg,20210630055611,26616,train
355,/home/admin/data/esmart_wip/20210630_055611_26622.jpg,20210630055611,26622,train
357,/home/admin/data/esmart_wip/20210630_055611_26634.jpg,20210630055611,26634,train
358,/home/admin/data/esmart_wip/20210630_055611_26640.jpg,20210630055611,26640,train
359,/home/admin/data/esmart_wip/20210630_055611_26646.jpg,20210630055611,26646,train
360,/home/admin/data/esmart_wip/20210630_055611_27126.jpg,20210630055611,27126,train
361,/home/admin/data/esmart_wip/20210630_055611_27132.jpg,20210630055611,27132,train
362,/home/admin/data/esmart_wip/20210630_055611_27186.jpg,20210630055611,27186,train
363,/home/admin/data/esmart_wip/20210630_055611_27222.jpg,20210630055611,27222,train
364,/home/admin/data/esmart_wip/20210630_055611_27354.jpg,20210630055611,27354,train
365,/home/admin/data/esmart_wip/20210630_055611_2736.jpg,20210630055611,2736,train
367,/home/admin/data/esmart_wip/20210630_055611_27774.jpg,20210630055611,27774,train
368,/home/admin/data/esmart_wip/20210630_055611_27879.jpg,20210630055611,27879,train
369,/home/admin/data/esmart_wip/20210630_055611_27984.jpg,20210630055611,27984,train
371,/home/admin/data/esmart_wip/20210630_055611_2844.jpg,20210630055611,2844,train
372,/home/admin/data/esmart_wip/20210630_055611_28482.jpg,20210630055611,28482,train
374,/home/admin/data/esmart_wip/20210630_055611_28698.jpg,20210630055611,28698,train
375,/home/admin/data/esmart_wip/20210630_055611_28710.jpg,20210630055611,28710,train
376,/home/admin/data/esmart_wip/20210630_055611_28722.jpg,20210630055611,28722,train
377,/home/admin/data/esmart_wip/20210630_055611_28728.jpg,20210630055611,28728,train
378,/home/admin/data/esmart_wip/20210630_055611_28734.jpg,20210630055611,28734,train
379,/home/admin/data/esmart_wip/20210630_055611_28746.jpg,20210630055611,28746,train
380,/home/admin/data/esmart_wip/20210630_055611_28776.jpg,20210630055611,28776,train
381,/home/admin/data/esmart_wip/20210630_055611_2946.jpg,20210630055611,2946,train
382,/home/admin/data/esmart_wip/20210630_055611_29466.jpg,20210630055611,29466,train
383,/home/admin/data/esmart_wip/20210630_055611_30186.jpg,20210630055611,30186,train
384,/home/admin/data/esmart_wip/20210630_055611_3048.jpg,20210630055611,3048,train
385,/home/admin/data/esmart_wip/20210630_055611_3168.jpg,20210630055611,3168,train
386,/home/admin/data/esmart_wip/20210630_055611_3180.jpg,20210630055611,3180,train
387,/home/admin/data/esmart_wip/20210630_055611_3276.jpg,20210630055611,3276,train
388,/home/admin/data/esmart_wip/20210630_055611_3468.jpg,20210630055611,3468,train
391,/home/admin/data/esmart_wip/20210630_055611_3678.jpg,20210630055611,3678,train
392,/home/admin/data/esmart_wip/20210630_055611_3714.jpg,20210630055611,3714,train
393,/home/admin/data/esmart_wip/20210630_055611_3768.jpg,20210630055611,3768,train
394,/home/admin/data/esmart_wip/20210630_055611_3804.jpg,20210630055611,3804,train
395,/home/admin/data/esmart_wip/20210630_055611_3966.jpg,20210630055611,3966,train
396,/home/admin/data/esmart_wip/20210630_055611_4062.jpg,20210630055611,4062,train
398,/home/admin/data/esmart_wip/20210630_055611_4320.jpg,20210630055611,4320,train
399,/home/admin/data/esmart_wip/20210630_055611_4422.jpg,20210630055611,4422,train
400,/home/admin/data/esmart_wip/20210630_055611_4518.jpg,20210630055611,4518,train
401,/home/admin/data/esmart_wip/20210630_055611_4698.jpg,20210630055611,4698,train
402,/home/admin/data/esmart_wip/20210630_055611_4800.jpg,20210630055611,4800,train
403,/home/admin/data/esmart_wip/20210630_055611_4878.jpg,20210630055611,4878,train
404,/home/admin/data/esmart_wip/20210630_055611_4914.jpg,20210630055611,4914,train
405,/home/admin/data/esmart_wip/20210630_055611_4992.jpg,20210630055611,4992,train
406,/home/admin/data/esmart_wip/20210630_055611_5010.jpg,20210630055611,5010,train
407,/home/admin/data/esmart_wip/20210630_055611_5016.jpg,20210630055611,5016,train
408,/home/admin/data/esmart_wip/20210630_055611_5124.jpg,20210630055611,5124,train
409,/home/admin/data/esmart_wip/20210630_055611_5178.jpg,20210630055611,5178,train
410,/home/admin/data/esmart_wip/20210630_055611_5214.jpg,20210630055611,5214,train
415,/home/admin/data/esmart_wip/20210630_055611_5694.jpg,20210630055611,5694,train
416,/home/admin/data/esmart_wip/20210630_055611_5820.jpg,20210630055611,5820,train
418,/home/admin/data/esmart_wip/20210630_055611_5976.jpg,20210630055611,5976,train
419,/home/admin/data/esmart_wip/20210630_055611_6120.jpg,20210630055611,6120,train
420,/home/admin/data/esmart_wip/20210630_055611_6246.jpg,20210630055611,6246,train
421,/home/admin/data/esmart_wip/20210630_055611_6396.jpg,20210630055611,6396,train
422,/home/admin/data/esmart_wip/20210630_055611_6624.jpg,20210630055611,6624,train
423,/home/admin/data/esmart_wip/20210630_055611_7110.jpg,20210630055611,7110,train
424,/home/admin/data/esmart_wip/20210630_055611_7254.jpg,20210630055611,7254,train
425,/home/admin/data/esmart_wip/20210630_055611_7266.jpg,20210630055611,7266,train
